,Surface Displacement,Displacement Into Surface,Load On Sample,Modulus,Stiffness^2/Load,Hardness,Row Number,Contact Depth,Contact Area,Time,Unnamed: 10
74,18280.895332177548,979.6051357128866,27.56953005070696,165.13312923655633,22848.776425904314,1.2991176497871593,2.0,953.5529316712801,21221734.6559981,364.1120000010755,74.0
78,18144.285159930892,938.7926839756366,27.598985881712633,185.7183712787606,25758.909114415274,1.4103445171929678,2.0,914.2431025258436,19568967.40141434,374.3500000011244,78.0
79,15913.83324272748,931.2539117510487,54.23325549741658,385.10103858466806,41120.626841351084,2.8320354839617776,3.0,904.0166002521239,19149920.897724364,386.832000001184,79.0
80,15820.765368463944,957.6783847016738,58.126925505460456,408.33965218972963,44181.565266603364,2.8714101678183432,3.0,930.4745961423235,20243337.631427445,389.83600000119833,80.0
81,16459.66930666297,999.1724159494767,26.944994336236146,153.42320654984908,21363.561175610335,1.222340968778876,3.0,972.5367544260278,22043762.767073344,393.6400000012165,81.0
82,16189.129846458507,872.8368682401349,37.544648506321685,307.2739886407646,37404.391331452985,2.2116535876446006,3.0,849.0753608120624,16975826.917951714,396.42000000122977,82.0
89,16167.274369719178,914.9306458378002,41.07734585592274,262.38255797530934,28941.528928142023,2.226457804213961,3.0,886.6752292011917,18449640.40107864,413.86600000131307,89.0
90,16955.521165820417,991.5125799974682,29.646101776395646,176.15298853679283,24323.556216928817,1.3643050123440335,3.0,965.3288493065072,21729819.584449247,417.7640000013317,90.0
91,17368.56094989296,1007.6880969017687,28.726739840852208,177.49928074367617,26333.581860135662,1.276755112478879,3.0,982.9167588352149,22499804.042356968,421.3460000013488,91.0
92,17477.631374669767,943.1849330385468,27.667826069628326,186.64050522969288,26161.57861181411,1.400411595708319,3.0,918.7946517623246,19756924.431659054,424.6120000013644,92.0
98,18585.909713269866,855.4692353716125,26.600471129995803,237.62504421674296,33863.978170317976,1.6201042194982966,3.0,834.4490307212067,16418987.624285841,440.8260000014418,98.0
99,18977.791734804232,1021.3488629650532,26.560468984255134,164.5515780102107,25699.137471476886,1.1479844193975015,3.0,997.2376055744576,23136611.033619173,444.3500000014586,99.0
100,18824.306487434926,994.8583642718881,25.46912062029775,149.27025133581338,21388.14108509478,1.1635871962490851,3.0,968.9773246050038,21888450.390653547,447.3360000014729,100.0
105,17182.14959384861,1010.2973301088567,27.442832545174763,134.86080485970615,16961.004008181935,1.2263926647266825,4.0,980.1290916094448,22376872.705195736,470.0400000015813,105.0
106,16930.245152263717,980.5172883973509,26.61796582223626,182.10036090142236,28230.177599442643,1.2443636088733774,4.0,957.4873970104668,21390826.308666844,472.86000000159476,106.0
107,16684.962002698838,978.1955739118587,59.012639884212085,488.218497139215,58827.07824933369,2.7757790386606764,4.0,954.4411148338663,21259847.79850701,475.6500000016081,107.0
114,16395.075304714464,992.5301277897252,29.311461137921043,163.91850489785057,21709.967700715468,1.34986697214979,4.0,964.9719556417829,21714333.147391394,492.79400000168994,114.0
115,16540.731502106697,884.3564577437471,42.7886819512121,243.1411208066795,22738.717981525217,2.5049830442278207,4.0,851.8220631181912,17081425.78042959,496.06400000170555,115.0
116,16416.309393546424,876.5706763568747,42.83096641483824,235.3161350357538,21095.70772217019,2.5593817454148433,4.0,842.7764000687456,16734887.826550422,498.97800000171947,116.0
117,17523.25640180461,971.5977939770058,29.12467662534138,147.94048555216622,17397.8318259641,1.4081482503984855,4.0,940.911513151087,20682961.909088418,503.28600000174004,117.0
118,17819.978975884984,977.7214705579054,25.962211881571797,131.75431965569842,16117.14668425712,1.2381816052496637,4.0,947.619978079935,20968016.138744727,506.82400000175693,118.0
126,17945.450591266832,918.5198255215695,43.01345962278483,229.039760677351,22091.44361344825,2.3377285211284753,4.0,885.4256624605036,18399681.243577953,526.6220000014358,126.0
127,18274.528969599123,960.3273935498805,37.64534739246919,197.46052348055252,21613.19255150602,1.8652276035569741,4.0,929.0264480276837,20182709.777980883,530.2180000013508,127.0
129,18274.528969599123,954.1860600721267,95.15996822118423,546.9805468758939,39405.41088013457,4.831353238214929,4.0,917.329866735422,19696338.38165466,535.0500000012365,129.0
131,17660.028930174325,1042.8927210707582,27.690406607216715,159.52743751602338,24285.08205778113,1.151090533874663,5.0,1017.5673310576265,24055802.556214746,552.3900000008265,131.0
132,17339.52809572271,975.4909598357814,26.51214360866557,154.7446348958186,21017.563597782882,1.2612432483766254,5.0,948.8535188820802,21020642.641924903,555.1660000007608,132.0
143,17483.74200205778,855.2208221169338,47.59040295513034,314.0460979350531,28869.269694950926,2.9641073005564764,5.0,824.7697172024709,16055560.116260229,582.4540000001156,143.0
144,18026.130603280173,932.4836003052449,26.350901675330547,182.7968926952014,25946.39869472141,1.362757810425721,5.0,908.5823588063174,19336452.503690742,586.0880000000296,144.0
145,17546.49284426803,1004.449189771803,24.146455290683196,199.76022086010212,38513.09566476527,1.0674102120455535,5.0,985.6697020231527,22621532.95724016,588.7919999999657,145.0
146,16993.01852834404,881.4402760591844,26.31204153752854,197.30695574536455,26490.18229613699,1.5198294988510086,5.0,857.8030742598287,17312495.61705471,591.3059999999062,146.0
147,17043.950579887274,893.6374781992023,29.93388914953849,249.466212393699,35437.09274906906,1.6759506478263584,5.0,871.8396214688121,17860841.659246683,594.5459999998296,147.0
151,17857.380745140727,954.753568126413,38.73855834423428,209.03596542514555,22869.800651146852,1.9400093325627974,5.0,923.8860436572003,19968232.984250516,607.469999999524,151.0
152,19058.66019864767,973.3634401784151,30.56336472561661,158.06957958271965,18698.40401496754,1.471284636628493,5.0,943.0413192259867,20773250.780116733,611.7499999994228,152.0
153,18713.301846984148,940.8018995504154,37.08043322676473,204.12791710640087,22309.90143580578,1.910987580779633,5.0,910.2256061297096,19403806.492367096,614.531999999357,153.0
155,18200.654257711638,812.7680634498533,35.77086177423653,294.8717172112257,31874.478308927737,2.433548371240931,5.0,787.643158801185,14699055.172672002,619.565999999238,155.0
156,18757.953706101085,982.1225766290713,30.19060662324354,211.46949345916676,32157.044945346395,1.406691363613157,5.0,959.1420955123549,21462139.744497653,623.3159999991493,156.0
157,17894.66554020638,992.7896894606823,26.418833785447422,163.62562206525647,24157.24854483721,1.2093574989564078,6.0,967.9872527080466,21845346.647492625,637.2779999988192,157.0
158,17604.42675692749,1013.9810595821706,30.199731018707507,181.0483295492489,26199.440263862813,1.327588733617932,6.0,988.5176360140088,22747806.044125948,640.2099999987498,158.0
169,17015.77276414359,875.6032933523443,92.11065376278451,451.03585830913744,25851.50418509279,5.656926559710449,6.0,830.8347167036991,16282808.834537746,666.7379999981225,169.0
170,17404.58155039454,936.1906469547348,65.38361085724881,309.6779416933626,24168.877025763017,3.464518192300204,6.0,897.1814079652856,18872353.16084126,670.3459999980372,170.0
171,17956.801935903164,989.889123239321,28.42393351981351,177.20228847480433,25607.696425103233,1.3091773320365352,6.0,964.9018942727791,21711293.668366298,674.0999999979484,171.0
172,17561.345450349792,902.5720632741222,36.683558775464626,353.32633002678665,51052.55351417256,2.006573659075149,6.0,882.4677955344669,18281690.58711379,676.8699999978829,172.0
176,17512.146177634884,873.0992274145852,37.60018243646162,223.452983844526,22033.22741043632,2.2501939276239065,6.0,842.1166758627969,16709751.979539627,687.0559999976421,176.0
178,19340.660907983452,978.3199614086165,27.142246843758873,173.47342898782338,25280.78722816606,1.2784864877290187,6.0,953.7452252073856,21229983.346927483,695.2139999974492,178.0
179,18971.849388679624,953.9917781581576,26.969563284692885,168.6565811279232,23006.37891496543,1.3382489481933897,6.0,928.3130159143749,20152874.6359945,697.9079999973854,179.0
181,18487.97346270194,880.0946141304271,26.273095515125906,173.70507654414493,21149.261826162798,1.5317555576495299,6.0,853.6602249963111,17152276.930819057,703.1339999972619,181.0
182,18813.89821369882,999.678807820447,26.669787299285698,168.80428415024798,25635.775051857243,1.2028069132203059,6.0,975.4881424797296,22172958.108365037,706.5039999971822,182.0
183,17997.51472217858,1007.0937799542901,26.445988999049142,170.38446481430626,26689.211041806644,1.1740777570986696,7.0,983.4850131771146,22524904.197488017,720.5759999968494,183.0
184,17870.669075408125,973.269185642936,25.14865951361777,137.74772833871106,17917.835373469537,1.2053765916423829,7.0,945.1711529884304,20863736.43555789,723.5839999967783,184.0
185,17460.995261287982,960.0158242261416,27.682780942443074,158.08155853506787,20194.022494723784,1.362497728310963,7.0,932.247178255479,20317671.264494784,726.2779999967146,185.0
187,16988.32587723041,976.0791812131679,29.39002498137798,173.17431621692006,23069.8214439935,1.3968561069885133,7.0,949.3097511801063,21040123.48468736,731.4079999965933,187.0
188,16435.42372185823,970.1489322063184,29.407721980917817,162.620755062217,20359.13611458386,1.4197017761516202,7.0,941.644507358436,20714013.657595903,733.9279999965337,188.0
189,16162.720535427521,870.5721440958753,30.34636976901751,195.70360067359618,21891.588207068864,1.8138890025281467,7.0,842.6482487955033,16730003.724991774,736.8139999964654,189.0
190,16662.426923693027,811.9946850668905,45.155478486456616,408.2436083832488,41235.738687341836,3.0754911048153373,7.0,787.1759525609691,14682363.546997773,740.4419999963796,190.0
191,16234.887441502387,801.0621308507792,41.23090209750487,313.7789786357362,29389.425713688717,2.9078135803972978,7.0,772.9704884096933,14179348.48900164,743.0939999963169,191.0
195,16273.8983229852,932.6359676371806,60.17510367901068,282.2048652782077,22539.716338624457,3.211194626252265,7.0,893.8838478501087,18739164.293271165,753.3619999960741,195.0
196,17626.793353647525,863.4753431545772,53.75623626290633,416.20622810209835,39971.666506932575,3.262599551294826,7.0,835.9711086163354,16476504.522772992,758.1099999959619,196.0
197,18077.79995518022,970.6548510252633,26.239282428847275,134.51991951102505,16311.278298351357,1.2695200965705689,7.0,940.5737837007733,20668662.5124951,761.8059999958745,197.0
198,17735.724398587165,957.2044912470253,26.75451190028564,181.16348184740696,26504.343795033576,1.3137452494117896,7.0,933.3757417674215,20365068.427280392,764.5359999958099,198.0
202,17474.042476975024,954.7174745075201,65.0255913820749,354.67556920491177,31422.347803712084,3.278871185027493,7.0,920.5994322304676,19831700.519070458,774.3699999955774,202.0
203,18010.02092397416,1105.1255614701324,24.159678434024947,149.30699240521048,27968.325056996953,0.8902115289190008,7.0,1083.0824138587836,27139255.83884817,778.2719999954851,203.0
204,19209.462288695027,987.3062052992042,27.073782085208858,163.5036985356419,23249.032537640098,1.2549757429629125,7.0,961.7124929096856,21573151.70195202,782.6179999953823,204.0
208,18787.643626142282,1024.3431512354512,26.918683886940332,171.89797699813127,27540.63365743722,1.1552745847782921,7.0,1000.8953993210289,23300680.41106113,792.44199999515,208.0
209,17970.126788270456,1003.6108765278883,24.69469788379681,150.33505338055954,22779.801703945304,1.1062183773436005,8.0,978.9170636749357,22323528.870580707,806.3379999948214,209.0
210,17942.87040810536,1015.4582468544352,26.5635383835919,146.49254660916225,20620.62052268579,1.1676906346738998,8.0,988.5395915939076,22748780.879800655,809.483999994747,210.0
211,17631.749088412475,870.7851808737398,33.2973588520982,203.0015125838802,21144.188918881984,1.997668731487825,8.0,841.0225963717651,16668108.344119186,812.3979999946781,211.0
212,17266.53656879686,898.8033648121238,30.688152922809177,273.4542179726001,40631.63512762183,1.6943753538790103,8.0,878.1916327514383,18111779.572662808,815.1339999946134,212.0
213,17330.581412453983,963.9021033384732,28.52014944552606,196.25365312842487,28900.404332206643,1.3805304997487227,8.0,940.3415653831371,20658833.289606534,818.3839999945366,213.0
214,16862.165054811943,1049.6838713501184,74.93474033663473,263.44920353422407,20292.671737473298,3.19615670799653,8.0,1004.1081814273443,23445264.79229068,821.0139999944744,214.0
